Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
decante-amouage-outlands;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-AMOU-OUTLANDS-5ML;;;NÃO;;;;;;SIM;;;;
decante-amouage-outlands;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-AMOU-OUTLANDS-10ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-bal-dafrique-absolu;Decante Bal d'Afrique Absolu - Byredo;Decantes > Byredo;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-BYRE-BALDAFRIQUEA-2ML;;SIM;NÃO;"<p><strong>BAL D'AFRIQUE ABSOLU</strong> de <strong>BYREDO</strong> é um perfume <em>Amadeirado Cítrico Compartilhável (Unissex)</em> lançado em <strong>2024</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Jerome Epinette</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Limão de Amalfi</em>, <em>Calêndula</em> e <em>Groselha Preta</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Violeta</em>, <em>Ciclame</em> e <em>Jasmim</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Vetiver</em>, <em>Âmbar</em> e <em>Almíscar</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Byredo, Bal d'Afrique Absolu, importado, perfume;Decante Bal d'Afrique Absolu - Byredo | Original Montalk;Compre decante original de Bal d'Afrique Absolu - Byredo fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Byredo;SIM;;;;
decante-byredo-bal-dafrique-absolu;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-BYRE-BALDAFRIQUEA-5ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-bal-dafrique-absolu;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-BYRE-BALDAFRIQUEA-10ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-gypsy-water;Decante Gypsy Water - Byredo;Decantes > Byredo;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-BYRE-GYPSYWATER-2ML;;SIM;NÃO;"<p><strong>GYPSY WATER</strong> de <strong>BYREDO</strong> é um perfume <em>Amadeirado Aromático Compartilhável (Unissex)</em> lançado em <strong>2008</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Jerome Epinette</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Zimbro</em>, <em>Limão</em> e <em>Pimenta</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Agulhas de Pinho</em>, <em>Incenso</em> e <em>Raiz de Íris</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Sândalo</em>, <em>Baunilha</em> e <em>Âmbar</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Byredo, Gypsy Water, importado, perfume;Decante Gypsy Water - Byredo | Original Montalk;Compre decante original de Gypsy Water - Byredo fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Byredo;SIM;;;;
decante-byredo-gypsy-water;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-BYRE-GYPSYWATER-5ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-gypsy-water;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-BYRE-GYPSYWATER-10ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-mojave-ghost;Decante Mojave Ghost - Byredo;Decantes > Byredo;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-BYRE-MOJAVEGHOST-2ML;;SIM;NÃO;"<p><strong>MOJAVE GHOST</strong> de <strong>BYREDO</strong> é um perfume <em>Floral Amadeirado Compartilhável (Unissex)</em> lançado em <strong>2014</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Jerome Epinette</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Sapodilla</em> e <em>Ambreta</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Violeta</em>, <em>Sândalo</em> e <em>Magnólia</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Almíscar</em>, <em>Âmbar Cinzento</em> e <em>Cedro</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Byredo, Mojave Ghost, importado, perfume;Decante Mojave Ghost - Byredo | Original Montalk;Compre decante original de Mojave Ghost - Byredo fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Byredo;SIM;;;;
decante-byredo-mojave-ghost;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-BYRE-MOJAVEGHOST-5ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-mojave-ghost;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-BYRE-MOJAVEGHOST-10ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-vanille-antique;Decante Vanille Antique - Byredo;Decantes > Byredo;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-BYRE-VANILLEANTIQ-2ML;;SIM;NÃO;"<p><strong>VANILLE ANTIQUE</strong> de <strong>BYREDO</strong> é um perfume <em>Oriental Amadeirado Compartilhável (Unissex)</em> lançado em <strong>2022</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Jérôme Epinette</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Almíscar</em> e <em>Ameixa</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Madeira Branca</em> e <em>Ládano</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Baunilha</em> e <em>Âmbar</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Byredo, Vanille Antique, importado, perfume;Decante Vanille Antique - Byredo | Original Montalk;Compre decante original de Vanille Antique - Byredo fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Byredo;SIM;;;;
decante-byredo-vanille-antique;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-BYRE-VANILLEANTIQ-5ML;;;NÃO;;;;;;SIM;;;;
decante-byredo-vanille-antique;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-BYRE-VANILLEANTIQ-10ML;;;NÃO;;;;;;SIM;;;;
decante-bvlgari-le-gemme-tygar;Decante Tygar - Bvlgari Le Gemme;Decantes > Bvlgari Le Gemme;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-BVLG-TYGAR-2ML;;SIM;NÃO;"<p><strong>TYGAR</strong> de <strong>BVLGARI LE GEMME</strong> é um perfume <em>Cítrico Aromático Masculino</em> lançado em <strong>2016</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Jacques Cavallier</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Toranja</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Gengibre</em> e <em>Ambreta</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Ambroxan</em> e <em>Notas Amadeiradas</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Bvlgari Le Gemme, Tygar, importado, perfume;Decante Tygar - Bvlgari Le Gemme | Original Montalk;Compre decante original de Tygar - Bvlgari Le Gemme fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Bvlgari Le Gemme;SIM;;;;
decante-bvlgari-le-gemme-tygar;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-BVLG-TYGAR-5ML;;;NÃO;;;;;;SIM;;;;
decante-bvlgari-le-gemme-tygar;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-BVLG-TYGAR-10ML;;;NÃO;;;;;;SIM;;;;
decante-casamorati-mefisto;Decante Mefisto - Casamorati;Decantes > Casamorati;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CASA-MEFISTO-2ML;;SIM;NÃO;<p>Decante do perfume de nicho <strong>Mefisto</strong> da grife <strong>Casamorati</strong>.</p><p>Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>;decante, Casamorati, Mefisto, importado, perfume;Decante Mefisto - Casamorati | Original Montalk;Compre decante original de Mefisto - Casamorati fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Casamorati;SIM;;;;
decante-casamorati-mefisto;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CASA-MEFISTO-5ML;;;NÃO;;;;;;SIM;;;;
decante-casamorati-mefisto;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CASA-MEFISTO-10ML;;;NÃO;;;;;;SIM;;;;
decante-casamorati-lira;Decante Lira - Casamorati;Decantes > Casamorati;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CASA-LIRA-2ML;;SIM;NÃO;<p>Decante do perfume de nicho <strong>Lira</strong> da grife <strong>Casamorati</strong>.</p><p>Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>;decante, Casamorati, Lira, importado, perfume;Decante Lira - Casamorati | Original Montalk;Compre decante original de Lira - Casamorati fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Casamorati;SIM;;;;
decante-casamorati-lira;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CASA-LIRA-5ML;;;NÃO;;;;;;SIM;;;;
decante-casamorati-lira;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CASA-LIRA-10ML;;;NÃO;;;;;;SIM;;;;
decante-chanel-les-exclusifs-1957;Decante 1957 - Chanel Les Exclusifs;Decantes > Chanel Les Exclusifs;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CHAN-1957-2ML;;SIM;NÃO;<p>Decante do perfume de nicho <strong>1957</strong> da grife <strong>Chanel Les Exclusifs</strong>.</p><p>Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>;decante, Chanel Les Exclusifs, 1957, importado, perfume;Decante 1957 - Chanel Les Exclusifs | Original Montalk;Compre decante original de 1957 - Chanel Les Exclusifs fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Chanel Les Exclusifs;SIM;;;;
decante-chanel-les-exclusifs-1957;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CHAN-1957-5ML;;;NÃO;;;;;;SIM;;;;
decante-chanel-les-exclusifs-1957;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CHAN-1957-10ML;;;NÃO;;;;;;SIM;;;;
decante-christian-louboutin-loubidoo;Decante Loubidoo - Christian Louboutin;Decantes > Christian Louboutin;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CHRI-LOUBIDOO-2ML;;SIM;NÃO;"<p><strong>LOUBIDOO</strong> de <strong>CHRISTIAN LOUBOUTIN</strong> é um perfume <em>Floral Frutado Feminino</em> lançado em <strong>2020</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Daphne Bugey</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Morango Silvestre</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Rosa de Maio</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Cedro</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Christian Louboutin, Loubidoo, importado, perfume;Decante Loubidoo - Christian Louboutin | Original Montalk;Compre decante original de Loubidoo - Christian Louboutin fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Christian Louboutin;SIM;;;;
decante-christian-louboutin-loubidoo;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CHRI-LOUBIDOO-5ML;;;NÃO;;;;;;SIM;;;;
decante-christian-louboutin-loubidoo;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CHRI-LOUBIDOO-10ML;;;NÃO;;;;;;SIM;;;;
decante-christian-louboutin-loubirouge;Decante Loubirouge - Christian Louboutin;Decantes > Christian Louboutin;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CHRI-LOUBIROUGE-2ML;;SIM;NÃO;"<p><strong>LOUBIROUGE</strong> de <strong>CHRISTIAN LOUBOUTIN</strong> é um perfume <em>Oriental Especiado Feminino</em> lançado em <strong>2020</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Marie Salamagne</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Cardamomo</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Íris</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Baunilha</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Christian Louboutin, Loubirouge, importado, perfume;Decante Loubirouge - Christian Louboutin | Original Montalk;Compre decante original de Loubirouge - Christian Louboutin fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Christian Louboutin;SIM;;;;
decante-christian-louboutin-loubirouge;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CHRI-LOUBIROUGE-5ML;;;NÃO;;;;;;SIM;;;;
decante-christian-louboutin-loubirouge;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CHRI-LOUBIROUGE-10ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-1872-feminino;Decante 1872 Feminino - Clive Christian;Decantes > Clive Christian;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CLIV-1872FEMININO-2ML;;SIM;NÃO;"<p><strong>1872 FEMININO</strong> de <strong>CLIVE CHRISTIAN</strong> é um perfume <em>Floral Frutado Feminino</em> lançado em <strong>2001</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Geza Schoen</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Bergamota</em>, <em>Limão</em> e <em>Tangerina</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Rosa de Maio</em>, <em>Jasmim</em> e <em>Orquídea</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Sândalo</em>, <em>Musgo de Carvalho</em> e <em>Almíscar</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Clive Christian, 1872 Feminino, importado, perfume;Decante 1872 Feminino - Clive Christian | Original Montalk;Compre decante original de 1872 Feminino - Clive Christian fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Clive Christian;SIM;;;;
decante-clive-christian-1872-feminino;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CLIV-1872FEMININO-5ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-1872-feminino;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CLIV-1872FEMININO-10ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-1872-masculino;Decante 1872 Masculino - Clive Christian;Decantes > Clive Christian;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CLIV-1872MASCULIN-2ML;;SIM;NÃO;"<p><strong>1872 MASCULINO</strong> de <strong>CLIVE CHRISTIAN</strong> é um perfume <em>Cítrico Aromático Masculino</em> lançado em <strong>2001</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Geza Schoen</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Lima</em>, <em>Toranja</em> e <em>Petitgrain</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Sálvia</em>, <em>Cilantro</em> e <em>Lavanda</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Cedro</em>, <em>Sândalo</em> e <em>Âmbar</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Clive Christian, 1872 Masculino, importado, perfume;Decante 1872 Masculino - Clive Christian | Original Montalk;Compre decante original de 1872 Masculino - Clive Christian fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Clive Christian;SIM;;;;
decante-clive-christian-1872-masculino;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CLIV-1872MASCULIN-5ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-1872-masculino;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CLIV-1872MASCULIN-10ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-amberwood;Decante Amberwood - Clive Christian;Decantes > Clive Christian;Volumetria;2ml;;;;;50.00;;0.02;2;11;16;5;DEC-CLIV-AMBERWOOD-2ML;;SIM;NÃO;"<p><strong>AMBERWOOD</strong> de <strong>CLIVE CHRISTIAN</strong> é um perfume <em>Oriental Amadeirado Compartilhável (Unissex)</em> lançado em <strong>2022</strong>. <em>O perfumista</em> que assina esta fragrância é <strong>Membro da Clive</strong>.</p><div style=""margin-top: 16px; margin-bottom: 25px; display: flex; flex-direction: column; gap: 10px; font-size: 14.5px; line-height: 1.7;""><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Saída (5 a 15 min):</strong> <em>Sálvia</em> e <em>Bergamota</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Corpo (2 a 6 h):</strong> <em>Madeira de Âmbar</em> e <em>Madeira Branca</em></div><div style=""position: relative; padding-left: 20px;""><span style=""color: #C5A880; font-weight: bold; font-size: 18px; position: absolute; left: 0; top: -1px;"">•</span><strong>Notas de Fundo (6 a 12h+):</strong> <em>Vetiver</em> e <em>Patchouli</em></div></div><p style=""font-family: 'Inter', sans-serif; font-style: italic; font-size: 12.5px; color: #7E786B; border-left: 1.5px solid #C5A880; padding-left: 16px; margin-top: 25px; line-height: 1.7; letter-spacing: 0.15px;"">Os decantes são uma excelente oportunidade para conhecer e testar fragrâncias exclusivas antes de investir em um frasco cheio. Nossos decantes são fracionados de forma profissional diretamente do frasco original em porta-perfumes de vidro com borrifador.</p>";decante, Clive Christian, Amberwood, importado, perfume;Decante Amberwood - Clive Christian | Original Montalk;Compre decante original de Amberwood - Clive Christian fracionado em 2ml, 5ml ou 10ml na Montalk. Envio rápido para todo o Brasil.;Clive Christian;SIM;;;;
decante-clive-christian-amberwood;;;Volumetria;5ml;;;;;100.00;;0.03;3;11;16;5;DEC-CLIV-AMBERWOOD-5ML;;;NÃO;;;;;;SIM;;;;
decante-clive-christian-amberwood;;;Volumetria;10ml;;;;;180.00;;0.05;5;11;16;5;DEC-CLIV-AMBERWOOD-10ML;;;NÃO;;;;;;SIM;;;;
